mean_x,mean_y,mean_z,std_x,std_y,std_z,max_x,max_y,max_z,min_x,min_y,min_z,range_x,range_y,range_z,mean_magnitude,energy_x,energy_y,energy_z,atividade
0.73,0.08,0.54,0.03,0.03,0.04,0.79,0.12,0.64,0.7,0.0,0.46,0.09,0.12,0.18,0.91,16.05,0.24,8.83,Repousando
0.71,0.13,0.5,0.08,0.09,0.06,0.94,0.46,0.56,0.39,0.02,0.26,0.55,0.44,0.3,0.89,15.51,0.78,7.66,Repousando
0.66,0.27,0.4,0.19,0.21,0.14,1.0,0.86,0.54,0.09,0.02,0.03,0.91,0.84,0.51,0.87,14.08,3.45,5.49,Digitando
0.63,0.34,0.34,0.21,0.19,0.13,1.0,0.86,0.54,0.09,0.02,0.03,0.91,0.84,0.51,0.84,13.25,4.5,3.88,Digitando
0.64,0.42,0.27,0.2,0.15,0.08,1.0,0.86,0.46,0.09,0.12,0.03,0.91,0.74,0.43,0.84,13.33,5.95,2.32,Digitando
0.65,0.49,0.34,0.18,0.24,0.17,0.94,1.0,1.0,0.0,0.0,0.0,0.94,1.0,1.0,0.93,13.4,8.89,4.35,Digitando
0.63,0.59,0.36,0.15,0.23,0.18,0.85,1.0,1.0,0.0,0.0,0.0,0.85,1.0,1.0,0.98,12.46,11.99,4.81,Escrevendo
0.59,0.68,0.41,0.16,0.2,0.17,0.91,1.0,1.0,0.0,0.0,0.0,0.91,1.0,1.0,1.02,11.04,15.01,5.94,Escrevendo
0.59,0.7,0.37,0.11,0.15,0.12,0.91,1.0,0.67,0.33,0.34,0.21,0.58,0.66,0.46,1.0,10.93,15.23,4.51,Escrevendo
0.61,0.71,0.32,0.11,0.12,0.12,0.91,1.0,0.67,0.33,0.46,0.21,0.58,0.54,0.46,1.0,11.5,15.59,3.53,Repousando
0.63,0.71,0.26,0.07,0.08,0.09,0.79,1.0,0.67,0.33,0.66,0.21,0.46,0.34,0.46,0.99,12.03,15.18,2.23,Repousando
0.64,0.68,0.23,0.02,0.01,0.01,0.67,0.7,0.26,0.61,0.66,0.21,0.06,0.04,0.05,0.96,12.22,13.93,1.56,Repousando
