mean_x,mean_y,mean_z,range_x,range_y,range_z,mean_magnitude,energy_x,energy_y,energy_z,atividade
0.4,0.36,0.5,0.17,0.41,0.57,0.74,3.28,2.78,5.29,Mouse
0.43,0.41,0.49,0.75,0.7,0.57,0.79,4.05,3.88,5.19,Mouse
0.44,0.41,0.5,0.75,0.7,0.57,0.8,4.26,3.85,5.41,Mouse
0.44,0.4,0.5,0.75,0.7,0.57,0.8,4.34,3.72,5.37,Mouse
0.43,0.41,0.51,0.75,0.7,0.57,0.8,4.07,3.81,5.47,Mouse
0.43,0.35,0.51,0.42,0.41,0.57,0.77,3.88,2.65,5.57,Mouse
0.44,0.37,0.51,0.42,0.41,0.43,0.78,4.1,2.87,5.49,Mouse
0.43,0.38,0.54,0.42,0.41,0.72,0.81,3.94,3.09,6.23,Mouse
0.43,0.38,0.53,0.5,0.41,0.72,0.79,3.96,3.0,5.95,Mouse
0.4,0.4,0.54,0.25,0.12,0.43,0.79,3.3,3.29,6.11,Mouse
0.37,0.39,0.53,0.17,0.35,0.72,0.76,2.83,3.09,5.95,Mouse
0.36,0.39,0.51,0.17,0.41,0.43,0.74,2.69,3.15,5.49,Mouse
0.35,0.4,0.52,0.17,0.47,0.57,0.75,2.54,3.41,5.67,Mouse
0.36,0.42,0.53,0.17,0.47,0.57,0.77,2.6,3.66,5.95,Mouse
0.35,0.43,0.54,0.17,0.3,0.28,0.78,2.47,3.78,6.02,Mouse
0.34,0.42,0.56,0.17,0.3,0.28,0.78,2.36,3.71,6.37,Mouse
0.35,0.42,0.56,0.17,0.24,0.28,0.79,2.56,3.51,6.51,Mouse
0.35,0.42,0.57,0.17,0.18,0.28,0.8,2.56,3.61,6.65,Mouse
0.36,0.44,0.58,0.17,0.24,0.28,0.82,2.63,3.89,6.97,Mouse
0.38,0.46,0.58,0.25,0.24,0.28,0.83,2.95,4.28,6.79,Mouse
0.38,0.47,0.58,0.25,0.24,0.28,0.84,2.95,4.42,6.93,Mouse
0.37,0.45,0.58,0.25,0.24,0.28,0.83,2.82,4.16,6.79,Mouse
0.38,0.45,0.57,0.17,0.24,0.28,0.82,2.94,4.11,6.62,Mouse
0.39,0.42,0.56,0.17,0.3,0.43,0.81,3.07,3.73,6.57,Mouse
0.4,0.42,0.55,0.17,0.3,0.43,0.8,3.28,3.58,6.25,Mouse
0.41,0.43,0.56,0.17,0.36,0.43,0.82,3.48,3.87,6.47,Mouse
0.41,0.42,0.56,0.17,0.36,0.43,0.82,3.48,3.7,6.57,Mouse
0.39,0.35,0.47,0.17,0.65,0.71,0.73,3.14,2.93,5.2,Mouse
0.37,0.27,0.4,0.25,0.65,0.71,0.64,2.75,2.19,4.07,Mouse
0.34,0.18,0.29,0.25,0.53,0.57,0.51,2.41,1.1,2.45,Mouse
0.32,0.15,0.26,0.25,0.47,0.57,0.47,2.15,0.71,2.0,Mouse
0.33,0.24,0.36,0.17,0.59,0.71,0.58,2.22,1.93,3.6,Mouse
0.33,0.31,0.43,0.17,0.59,0.71,0.65,2.28,2.63,4.74,Mouse
0.38,0.37,0.53,0.42,0.59,0.86,0.77,3.04,3.26,6.52,Mouse
0.4,0.44,0.58,0.42,0.71,0.86,0.85,3.43,4.39,7.6,Mouse
0.38,0.37,0.55,0.5,0.71,0.86,0.79,3.15,3.5,7.15,Mouse
0.3,0.31,0.48,0.67,0.71,1.0,0.68,2.53,2.97,6.02,Mouse
0.24,0.37,0.44,0.5,1.0,0.86,0.65,1.64,4.42,5.73,Mouse
0.21,0.38,0.43,0.5,1.0,0.86,0.64,1.25,4.51,5.31,Mouse
0.21,0.45,0.46,0.42,1.0,0.86,0.69,1.19,5.46,5.58,Mouse
0.26,0.53,0.54,0.34,0.94,0.86,0.81,1.46,6.48,6.87,Mouse
0.27,0.54,0.57,0.16,0.3,0.28,0.83,1.55,5.82,6.65,Mouse
0.26,0.54,0.57,0.16,0.24,0.28,0.83,1.38,5.8,6.62,Mouse
