x,y,z,atividade
-0.91,-0.35,-0.05,Repousando
-0.91,-0.35,-0.06,Repousando
-0.92,-0.35,-0.06,Repousando
-0.92,-0.35,-0.07,Repousando
-0.92,-0.34,-0.07,Repousando
-0.92,-0.34,-0.08,Repousando
-0.92,-0.33,-0.08,Repousando
-0.92,-0.33,-0.08,Repousando
-0.92,-0.32,-0.09,Repousando
-0.92,-0.32,-0.09,Repousando
-0.92,-0.31,-0.09,Repousando
-0.92,-0.31,-0.09,Repousando
-0.92,-0.31,-0.09,Repousando
-0.92,-0.31,-0.09,Repousando
-0.92,-0.31,-0.09,Repousando
-0.92,-0.31,-0.09,Repousando
-0.92,-0.31,-0.1,Repousando
-0.93,-0.31,-0.1,Repousando
-0.93,-0.31,-0.1,Repousando
-0.93,-0.31,-0.1,Repousando
-0.93,-0.31,-0.1,Repousando
-0.93,-0.31,-0.1,Repousando
-0.92,-0.31,-0.1,Repousando
-0.92,-0.31,-0.1,Repousando
-0.92,-0.3,-0.1,Repousando
-0.92,-0.3,-0.1,Repousando
-0.92,-0.3,-0.1,Repousando
-0.92,-0.3,-0.1,Repousando
-0.92,-0.3,-0.1,Repousando
-0.92,-0.3,-0.11,Repousando
-0.93,-0.3,-0.11,Repousando
-0.93,-0.3,-0.11,Repousando
-0.93,-0.3,-0.1,Repousando
-0.94,-0.3,-0.1,Repousando
-0.94,-0.29,-0.1,Repousando
-0.93,-0.28,-0.1,Digitando
-0.93,-0.26,-0.11,Digitando
-0.93,-0.24,-0.12,Digitando
-0.93,-0.22,-0.14,Digitando
-0.93,-0.19,-0.16,Digitando
-0.93,-0.17,-0.18,Digitando
-0.95,-0.15,-0.19,Digitando
-0.96,-0.13,-0.21,Digitando
-0.98,-0.11,-0.22,Digitando
-0.99,-0.09,-0.23,Digitando
-1.0,-0.08,-0.23,Digitando
-1.0,-0.08,-0.23,Digitando
-0.99,-0.08,-0.22,Digitando
-0.98,-0.1,-0.21,Digitando
-0.97,-0.13,-0.2,Digitando
-0.96,-0.16,-0.18,Digitando
-0.95,-0.18,-0.17,Digitando
-0.95,-0.21,-0.17,Digitando
-0.96,-0.21,-0.16,Digitando
-0.96,-0.21,-0.17,Digitando
-0.96,-0.2,-0.17,Digitando
-0.96,-0.19,-0.18,Digitando
-0.96,-0.18,-0.18,Digitando
