x,y,z,predicted_activity,predicted_activity
-0.22,-0.37,0.49,Celular,Celular
-0.22,-0.3,0.51,Celular,Celular
-0.21,-0.31,0.52,Digitando,Digitando
-0.21,-0.33,0.52,Mouse,Mouse
-0.22,-0.34,0.51,Mouse,Mouse
-0.22,-0.32,0.51,Mouse,Mouse
-0.22,-0.32,0.51,Mouse,Mouse
-0.2,-0.31,0.52,Digitando,Digitando
-0.22,-0.31,0.52,Mouse,Mouse
-0.21,-0.32,0.52,Mouse,Mouse
-0.21,-0.31,0.52,Digitando,Digitando
-0.2,-0.31,0.52,Digitando,Digitando
-0.22,-0.32,0.5,Celular,Celular
-0.21,-0.3,0.52,Digitando,Digitando
-0.21,-0.32,0.52,Mouse,Mouse
-0.21,-0.32,0.52,Mouse,Mouse
-0.21,-0.3,0.51,Digitando,Digitando
-0.21,-0.3,0.53,Digitando,Digitando
-0.2,-0.34,0.52,Digitando,Digitando
-0.21,-0.32,0.51,Digitando,Digitando
-0.23,-0.34,0.51,Celular,Celular
-0.21,-0.28,0.52,Digitando,Digitando
-0.14,-0.22,0.5,Digitando,Digitando
-0.22,-0.34,0.49,Celular,Celular
-0.22,-0.29,0.52,Mouse,Mouse
-0.21,-0.33,0.5,Digitando,Digitando
-0.21,-0.31,0.52,Digitando,Digitando
-0.21,-0.33,0.52,Mouse,Mouse
-0.2,-0.31,0.52,Digitando,Digitando
-0.21,-0.31,0.53,Digitando,Digitando
-0.21,-0.32,0.52,Mouse,Mouse
-0.21,-0.32,0.51,Digitando,Digitando
-0.19,-0.33,0.51,Digitando,Digitando
-0.22,-0.32,0.52,Mouse,Mouse
-0.21,-0.3,0.52,Digitando,Digitando
-0.22,-0.31,0.52,Mouse,Mouse
-0.21,-0.31,0.52,Digitando,Digitando
-0.22,-0.31,0.52,Mouse,Mouse
-0.22,-0.31,0.52,Mouse,Mouse
-0.21,-0.31,0.52,Digitando,Digitando
-0.21,-0.33,0.52,Mouse,Mouse
-0.21,-0.32,0.51,Digitando,Digitando
-0.21,-0.37,0.49,Digitando,Digitando
-0.17,-0.33,0.52,Digitando,Digitando
-0.21,-0.31,0.51,Digitando,Digitando
-0.2,-0.31,0.52,Digitando,Digitando
-0.2,-0.3,0.52,Digitando,Digitando
-0.2,-0.31,0.52,Digitando,Digitando
-0.2,-0.31,0.52,Digitando,Digitando
-0.21,-0.31,0.51,Digitando,Digitando
-0.21,-0.31,0.51,Digitando,Digitando
-0.21,-0.31,0.52,Digitando,Digitando
-0.21,-0.31,0.52,Digitando,Digitando
-0.21,-0.3,0.53,Digitando,Digitando
-0.22,-0.31,0.54,Digitando,Digitando
-0.21,-0.32,0.51,Digitando,Digitando
-0.21,-0.31,0.52,Digitando,Digitando
-0.23,-0.32,0.52,Celular,Celular
-0.21,-0.31,0.52,Digitando,Digitando
-0.22,-0.31,0.51,Celular,Celular
-0.22,-0.31,0.52,Mouse,Mouse
-0.22,-0.32,0.51,Mouse,Mouse
-0.22,-0.31,0.51,Celular,Celular
-0.21,-0.31,0.51,Digitando,Digitando
-0.22,-0.32,0.52,Mouse,Mouse
-0.23,-0.36,0.49,Celular,Celular
-0.21,-0.31,0.52,Digitando,Digitando
-0.22,-0.31,0.52,Mouse,Mouse
-0.21,-0.32,0.52,Mouse,Mouse
-0.21,-0.3,0.52,Digitando,Digitando
-0.22,-0.3,0.52,Mouse,Mouse
-0.22,-0.31,0.52,Mouse,Mouse
-0.22,-0.31,0.52,Mouse,Mouse
-0.21,-0.32,0.52,Mouse,Mouse
-0.21,-0.29,0.52,Digitando,Digitando
-0.22,-0.28,0.52,Mouse,Mouse
-0.22,-0.32,0.51,Mouse,Mouse
-0.22,-0.33,0.51,Mouse,Mouse
-0.22,-0.29,0.53,Digitando,Digitando
-0.22,-0.31,0.52,Mouse,Mouse
-0.22,-0.31,0.51,Celular,Celular
-0.22,-0.31,0.52,Mouse,Mouse
-0.21,-0.29,0.52,Digitando,Digitando
-0.22,-0.3,0.52,Mouse,Mouse
-0.21,-0.31,0.52,Digitando,Digitando
-0.22,-0.3,0.51,Celular,Celular
-0.22,-0.31,0.52,Mouse,Mouse
-0.23,-0.31,0.51,Celular,Celular
-0.21,-0.31,0.53,Digitando,Digitando
-0.22,-0.33,0.51,Mouse,Mouse
-0.23,-0.3,0.53,Celular,Celular
-0.22,-0.31,0.52,Mouse,Mouse
-0.22,-0.31,0.52,Mouse,Mouse
-0.21,-0.31,0.52,Digitando,Digitando
-0.22,-0.31,0.53,Digitando,Digitando
-0.21,-0.31,0.52,Digitando,Digitando
-0.22,-0.32,0.52,Mouse,Mouse
-0.22,-0.32,0.51,Mouse,Mouse
-0.21,-0.31,0.53,Digitando,Digitando
-0.21,-0.3,0.52,Digitando,Digitando
-0.22,-0.3,0.52,Mouse,Mouse
-0.22,-0.3,0.52,Mouse,Mouse
-0.21,-0.3,0.52,Digitando,Digitando
-0.21,-0.3,0.52,Digitando,Digitando
-0.22,-0.3,0.52,Mouse,Mouse
-0.23,-0.31,0.51,Celular,Celular
-0.22,-0.29,0.51,Celular,Celular
-0.22,-0.32,0.53,Mouse,Mouse
-0.21,-0.28,0.53,Digitando,Digitando
-0.21,-0.31,0.52,Digitando,Digitando
-0.22,-0.29,0.52,Mouse,Mouse
-0.2,-0.29,0.52,Digitando,Digitando
-0.22,-0.3,0.52,Mouse,Mouse
-0.21,-0.29,0.53,Digitando,Digitando
-0.2,-0.3,0.52,Digitando,Digitando
-0.22,-0.3,0.52,Mouse,Mouse
-0.21,-0.31,0.52,Digitando,Digitando
-0.21,-0.31,0.52,Digitando,Digitando
-0.22,-0.3,0.53,Digitando,Digitando
-0.21,-0.31,0.52,Digitando,Digitando
-0.22,-0.31,0.52,Mouse,Mouse
-0.22,-0.31,0.52,Mouse,Mouse
-0.22,-0.31,0.52,Mouse,Mouse
-0.22,-0.31,0.51,Celular,Celular
-0.22,-0.31,0.52,Mouse,Mouse
-0.22,-0.32,0.51,Mouse,Mouse
-0.21,-0.32,0.51,Digitando,Digitando
-0.22,-0.29,0.52,Mouse,Mouse
-0.2,-0.28,0.53,Digitando,Digitando
-0.22,-0.31,0.52,Mouse,Mouse
-0.21,-0.32,0.52,Mouse,Mouse
-0.2,-0.33,0.51,Digitando,Digitando
-0.21,-0.3,0.54,Digitando,Digitando
-0.21,-0.32,0.51,Digitando,Digitando
-0.2,-0.28,0.52,Digitando,Digitando
-0.21,-0.3,0.52,Digitando,Digitando
-0.21,-0.31,0.52,Digitando,Digitando
-0.2,-0.31,0.52,Digitando,Digitando
-0.21,-0.32,0.52,Mouse,Mouse
-0.21,-0.32,0.51,Digitando,Digitando
-0.22,-0.29,0.53,Digitando,Digitando
-0.21,-0.27,0.53,Digitando,Digitando
-0.21,-0.32,0.51,Digitando,Digitando
-0.21,-0.33,0.51,Mouse,Mouse
-0.22,-0.3,0.52,Mouse,Mouse
-0.21,-0.29,0.52,Digitando,Digitando
-0.22,-0.31,0.52,Mouse,Mouse
-0.22,-0.31,0.52,Mouse,Mouse
-0.2,-0.31,0.52,Digitando,Digitando
-0.22,-0.33,0.52,Mouse,Mouse
-0.2,-0.37,0.51,Digitando,Digitando
-0.22,-0.35,0.48,Celular,Celular
-0.22,-0.34,0.48,Celular,Celular
-0.22,-0.35,0.51,Mouse,Mouse
-0.22,-0.38,0.49,Celular,Celular
-0.21,-0.35,0.5,Digitando,Digitando
-0.23,-0.37,0.5,Celular,Celular
-0.22,-0.36,0.5,Celular,Celular
-0.22,-0.36,0.5,Celular,Celular
-0.22,-0.38,0.49,Celular,Celular
-0.22,-0.36,0.49,Celular,Celular
-0.23,-0.36,0.49,Celular,Celular
-0.22,-0.38,0.48,Celular,Celular
-0.23,-0.38,0.49,Celular,Celular
-0.23,-0.36,0.49,Celular,Celular
-0.22,-0.36,0.49,Celular,Celular
-0.22,-0.35,0.51,Mouse,Mouse
-0.23,-0.33,0.52,Celular,Celular
-0.22,-0.32,0.52,Mouse,Mouse
-0.22,-0.3,0.52,Mouse,Mouse
-0.22,-0.3,0.52,Mouse,Mouse
-0.22,-0.29,0.52,Mouse,Mouse
-0.21,-0.29,0.52,Digitando,Digitando
-0.21,-0.3,0.53,Digitando,Digitando
-0.21,-0.28,0.53,Digitando,Digitando
-0.21,-0.33,0.5,Digitando,Digitando
-0.23,-0.31,0.53,Celular,Celular
-0.22,-0.32,0.5,Celular,Celular
-0.22,-0.31,0.52,Mouse,Mouse
-0.21,-0.3,0.53,Digitando,Digitando
-0.22,-0.37,0.51,Mouse,Mouse
-0.21,-0.38,0.49,Digitando,Digitando
-0.18,-0.31,0.55,Digitando,Digitando
-0.2,-0.3,0.52,Digitando,Digitando
-0.21,-0.29,0.52,Digitando,Digitando
-0.21,-0.31,0.51,Digitando,Digitando
-0.21,-0.33,0.53,Mouse,Mouse
-0.2,-0.26,0.54,Digitando,Digitando
-0.22,-0.27,0.52,Mouse,Mouse
-0.21,-0.27,0.53,Digitando,Digitando
-0.2,-0.28,0.53,Digitando,Digitando
-0.24,-0.35,0.54,Celular,Celular
-0.23,-0.36,0.51,Celular,Celular
-0.23,-0.35,0.5,Celular,Celular
-0.23,-0.35,0.49,Celular,Celular
-0.25,-0.35,0.5,Celular,Celular
-0.25,-0.37,0.5,Celular,Celular
-0.26,-0.38,0.48,Celular,Celular
-0.26,-0.35,0.49,Celular,Celular
-0.25,-0.31,0.51,Celular,Celular
-0.25,-0.37,0.48,Celular,Celular
-0.24,-0.36,0.48,Celular,Celular
-0.24,-0.3,0.5,Celular,Celular
-0.24,-0.22,0.54,Celular,Celular
-0.21,-0.21,0.54,Digitando,Digitando
-0.22,-0.27,0.53,Digitando,Digitando
-0.23,-0.3,0.52,Celular,Celular
-0.22,-0.29,0.51,Celular,Celular
-0.22,-0.27,0.53,Digitando,Digitando
-0.22,-0.28,0.52,Mouse,Mouse
-0.22,-0.29,0.53,Digitando,Digitando
-0.23,-0.29,0.52,Celular,Celular
-0.23,-0.29,0.52,Celular,Celular
-0.23,-0.29,0.52,Celular,Celular
-0.22,-0.29,0.52,Mouse,Mouse
-0.24,-0.32,0.51,Celular,Celular
-0.24,-0.3,0.52,Celular,Celular
-0.23,-0.29,0.52,Celular,Celular
-0.22,-0.28,0.53,Digitando,Digitando
-0.23,-0.29,0.52,Celular,Celular
-0.23,-0.29,0.52,Celular,Celular
-0.23,-0.29,0.51,Celular,Celular
-0.23,-0.29,0.52,Celular,Celular
-0.23,-0.29,0.51,Celular,Celular
-0.22,-0.28,0.52,Mouse,Mouse
-0.23,-0.28,0.52,Celular,Celular
-0.24,-0.29,0.52,Celular,Celular
-0.23,-0.28,0.52,Celular,Celular
-0.23,-0.28,0.52,Celular,Celular
-0.22,-0.28,0.53,Digitando,Digitando
-0.22,-0.28,0.52,Mouse,Mouse
