x,y,z,atividade
-0.91,-0.35,-0.05,Repousando
-0.90,-0.36,-0.07,Repousando
-0.92,-0.35,-0.06,Repousando
-0.93,-0.35,-0.06,Repousando
-0.92,-0.35,-0.07,Repousando
-0.91,-0.33,-0.07,Repousando
-0.92,-0.33,-0.09,Repousando
-0.92,-0.33,-0.09,Repousando
-0.92,-0.32,-0.08,Repousando
-0.92,-0.32,-0.09,Repousando
-0.92,-0.31,-0.08,Repousando
-0.92,-0.32,-0.09,Repousando
-0.91,-0.31,-0.09,Repousando
-0.92,-0.31,-0.08,Repousando
-0.90,-0.31,-0.10,Repousando
-0.93,-0.32,-0.09,Repousando
-0.93,-0.31,-0.09,Repousando
-0.93,-0.30,-0.10,Repousando
-0.92,-0.32,-0.10,Repousando
-0.93,-0.31,-0.12,Repousando
-0.92,-0.32,-0.10,Repousando
-0.93,-0.31,-0.10,Repousando
-0.93,-0.30,-0.10,Repousando
-0.92,-0.30,-0.10,Repousando
-0.92,-0.31,-0.09,Repousando
-0.91,-0.30,-0.10,Repousando
-0.92,-0.31,-0.10,Repousando
-0.93,-0.30,-0.10,Repousando
-0.90,-0.30,-0.10,Repousando
-0.93,-0.31,-0.10,Repousando
-0.94,-0.28,-0.11,Repousando
-0.93,-0.30,-0.11,Repousando
-0.93,-0.31,-0.11,Repousando
-0.93,-0.29,-0.10,Repousando
-0.92,-0.28,-0.11,Repousando
-0.92,-0.26,-0.10,Digitando
-1.03,-0.35,-0.10,Digitando
-0.85,-0.28,-0.09,Digitando
-0.95,-0.13,-0.15,Digitando
-0.93,-0.14,-0.20,Digitando
-0.83,-0.19,-0.17,Digitando
-1.10,-0.21,-0.17,Digitando
-0.89,-0.09,-0.22,Digitando
-1.02,-0.11,-0.24,Digitando
-0.88,-0.11,-0.20,Digitando
-0.98,-0.19,-0.18,Digitando
-1.13,0.07,-0.29,Digitando
-1.01,-0.14,-0.22,Digitando
-0.95,-0.12,-0.20,Digitando
-0.97,-0.01,-0.21,Digitando
-0.92,-0.24,-0.17,Digitando
-0.89,-0.13,-0.19,Digitando
-0.95,-0.25,-0.17,Digitando
-0.98,-0.30,-0.12,Digitando
-1.07,-0.19,-0.17,Digitando
-0.91,-0.17,-0.17,Digitando
-0.99,-0.16,-0.20,Digitando
-0.96,-0.13,-0.20,Digitando
-0.85,-0.21,-0.19,Digitando
-0.96,-0.19,-0.19,Digitando
-0.99,-0.18,-0.17,Digitando
-0.93,-0.14,-0.19,Digitando
-0.93,-0.19,-0.20,Digitando
-0.93,-0.16,-0.21,Digitando
-0.90,-0.21,-0.19,Digitando
-0.92,-0.18,-0.21,Digitando
-0.92,-0.19,-0.18,Digitando
-0.95,-0.09,-0.22,Digitando
-0.90,-0.13,-0.18,Digitando
-0.92,0.02,-0.25,Digitando
-1.16,-0.36,0.09,Escrevendo
-0.98,0.14,-0.15,Escrevendo
-0.97,0.00,-0.15,Escrevendo
-0.93,0.06,-0.01,Escrevendo
-0.98,0.00,-0.14,Escrevendo
-0.94,-0.05,-0.17,Escrevendo
-0.90,0.05,-0.12,Escrevendo
-0.98,0.01,-0.14,Escrevendo
-0.95,0.09,-0.15,Escrevendo
-0.88,0.01,-0.30,Escrevendo
-0.95,-0.19,-0.19,Escrevendo
-0.98,0.01,-0.21,Escrevendo
-0.97,0.03,-0.11,Escrevendo
-0.94,-0.01,-0.20,Escrevendo
-0.94,-0.01,-0.16,Escrevendo
-1.00,-0.16,-0.11,Escrevendo
-0.97,0.04,-0.13,Escrevendo
-0.99,-0.07,-0.11,Escrevendo
-0.96,-0.07,-0.13,Escrevendo
-0.96,0.01,-0.22,Escrevendo
-0.86,-0.06,-0.17,Escrevendo
-1.01,-0.06,-0.13,Escrevendo
-0.96,0.11,-0.14,Escrevendo
-0.98,-0.13,-0.09,Escrevendo
-1.04,-0.01,-0.16,Escrevendo
-1.00,-0.07,-0.12,Escrevendo
-0.98,0.07,-0.13,Escrevendo
-0.92,0.09,-0.18,Escrevendo
-0.97,0.01,-0.13,Escrevendo
-0.97,-0.09,-0.11,Escrevendo
-0.96,0.03,-0.04,Escrevendo
